month,area,activity,act_count
1,Ttukseom,general,370010
2,Ttukseom,general,399490
3,Ttukseom,general,395830
4,Ttukseom,general,409050
5,Ttukseom,general,435217
6,Ttukseom,general,449215
7,Ttukseom,general,458255
8,Ttukseom,general,483045
9,Ttukseom,general,507331
10,Ttukseom,general,376171
1,Ttukseom,sports facility,233840
2,Ttukseom,sports facility,207625
3,Ttukseom,sports facility,238340
4,Ttukseom,sports facility,242205
5,Ttukseom,sports facility,204747
6,Ttukseom,sports facility,200600
7,Ttukseom,sports facility,155223
8,Ttukseom,sports facility,153545
9,Ttukseom,sports facility,112415
10,Ttukseom,sports facility,122337
1,Ttukseom,bicycle,267245
2,Ttukseom,bicycle,241265
3,Ttukseom,bicycle,281080
4,Ttukseom,bicycle,344080
5,Ttukseom,bicycle,342569
6,Ttukseom,bicycle,317975
7,Ttukseom,bicycle,389200
8,Ttukseom,bicycle,346983
9,Ttukseom,bicycle,360183
10,Ttukseom,bicycle,307555
1,Ttukseom,event marathon,8410
2,Ttukseom,event marathon,6760
3,Ttukseom,event marathon,12870
4,Ttukseom,event marathon,63850
5,Ttukseom,event marathon,22485
6,Ttukseom,event marathon,42770
7,Ttukseom,event marathon,22507
8,Ttukseom,event marathon,30126
9,Ttukseom,event marathon,15530
10,Ttukseom,event marathon,31443
1,Ttukseom,specialize park,203418
2,Ttukseom,specialize park,176220
3,Ttukseom,specialize park,262041
4,Ttukseom,specialize park,299154
5,Ttukseom,specialize park,310802
6,Ttukseom,specialize park,362972
7,Ttukseom,specialize park,377515
8,Ttukseom,specialize park,426502
9,Ttukseom,specialize park,366985
10,Ttukseom,specialize park,363511
1,Ttukseom,etc,39287
2,Ttukseom,etc,10992
3,Ttukseom,etc,13604
4,Ttukseom,etc,28630
5,Ttukseom,etc,27238
6,Ttukseom,etc,43999
7,Ttukseom,etc,117435
8,Ttukseom,etc,103087
9,Ttukseom,etc,32098
10,Ttukseom,etc,23519
